Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Grönskär;99150;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;millimeter

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1949-01-01 00:00:00;1960-12-31 23:59:59;9.0;59.2792;19.0306

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1958-09-03 06:00:01;1958-09-04 06:00:00;1958-09-03;0.0;Y
1958-09-04 06:00:01;1958-09-05 06:00:00;1958-09-04;0.0;Y
1958-09-05 06:00:01;1958-09-06 06:00:00;1958-09-05;0.0;Y
1958-09-06 06:00:01;1958-09-07 06:00:00;1958-09-06;0.0;Y
1958-09-07 06:00:01;1958-09-08 06:00:00;1958-09-07;0.0;Y
1958-09-08 06:00:01;1958-09-09 06:00:00;1958-09-08;0.0;Y
1958-09-09 06:00:01;1958-09-10 06:00:00;1958-09-09;10.1;Y
1958-09-10 06:00:01;1958-09-11 06:00:00;1958-09-10;1.2;Y
1958-09-11 06:00:01;1958-09-12 06:00:00;1958-09-11;1.9;Y
1958-09-12 06:00:01;1958-09-13 06:00:00;1958-09-12;0.0;Y
1958-09-13 06:00:01;1958-09-14 06:00:00;1958-09-13;0.0;Y
1958-09-14 06:00:01;1958-09-15 06:00:00;1958-09-14;0.0;Y
1958-09-15 06:00:01;1958-09-16 06:00:00;1958-09-15;0.0;Y
1958-09-16 06:00:01;1958-09-17 06:00:00;1958-09-16;0.0;Y
1958-09-17 06:00:01;1958-09-18 06:00:00;1958-09-17;0.0;Y
1958-09-18 06:00:01;1958-09-19 06:00:00;1958-09-18;0.0;Y
1958-09-19 06:00:01;1958-09-20 06:00:00;1958-09-19;0.0;Y
1958-09-20 06:00:01;1958-09-21 06:00:00;1958-09-20;0.2;Y
1958-09-21 06:00:01;1958-09-22 06:00:00;1958-09-21;0.9;Y
1958-09-22 06:00:01;1958-09-23 06:00:00;1958-09-22;11.0;Y
1958-09-23 06:00:01;1958-09-24 06:00:00;1958-09-23;0.0;Y
1958-09-24 06:00:01;1958-09-25 06:00:00;1958-09-24;0.2;Y
1958-09-25 06:00:01;1958-09-26 06:00:00;1958-09-25;4.2;Y
1958-09-26 06:00:01;1958-09-27 06:00:00;1958-09-26;3.0;Y
1958-09-27 06:00:01;1958-09-28 06:00:00;1958-09-27;1.1;Y
1958-09-28 06:00:01;1958-09-29 06:00:00;1958-09-28;0.0;Y
1958-09-29 06:00:01;1958-09-30 06:00:00;1958-09-29;0.0;Y
1958-09-30 06:00:01;1958-10-01 06:00:00;1958-09-30;0.0;Y
1958-10-01 06:00:01;1958-10-02 06:00:00;1958-10-01;0.0;Y
1958-10-02 06:00:01;1958-10-03 06:00:00;1958-10-02;0.0;Y
1958-10-03 06:00:01;1958-10-04 06:00:00;1958-10-03;1.2;Y
1958-10-04 06:00:01;1958-10-05 06:00:00;1958-10-04;0.8;Y
1958-10-05 06:00:01;1958-10-06 06:00:00;1958-10-05;0.0;Y
1958-10-06 06:00:01;1958-10-07 06:00:00;1958-10-06;0.0;Y
1958-10-07 06:00:01;1958-10-08 06:00:00;1958-10-07;1.4;Y
1958-10-08 06:00:01;1958-10-09 06:00:00;1958-10-08;3.8;Y
1958-10-09 06:00:01;1958-10-10 06:00:00;1958-10-09;0.0;Y
1958-10-10 06:00:01;1958-10-11 06:00:00;1958-10-10;0.3;Y
1958-10-11 06:00:01;1958-10-12 06:00:00;1958-10-11;4.2;Y
1958-10-12 06:00:01;1958-10-13 06:00:00;1958-10-12;0.0;Y
1958-10-13 06:00:01;1958-10-14 06:00:00;1958-10-13;0.0;Y
1958-10-14 06:00:01;1958-10-15 06:00:00;1958-10-14;0.0;Y
1958-10-15 06:00:01;1958-10-16 06:00:00;1958-10-15;7.3;Y
1958-10-16 06:00:01;1958-10-17 06:00:00;1958-10-16;9.2;Y
1958-10-17 06:00:01;1958-10-18 06:00:00;1958-10-17;4.4;Y
1958-10-18 06:00:01;1958-10-19 06:00:00;1958-10-18;5.5;Y
1958-10-19 06:00:01;1958-10-20 06:00:00;1958-10-19;0.4;Y
1958-10-20 06:00:01;1958-10-21 06:00:00;1958-10-20;0.0;Y
1958-10-21 06:00:01;1958-10-22 06:00:00;1958-10-21;0.0;Y
1958-10-22 06:00:01;1958-10-23 06:00:00;1958-10-22;1.6;Y
1958-10-23 06:00:01;1958-10-24 06:00:00;1958-10-23;0.0;Y
1958-10-24 06:00:01;1958-10-25 06:00:00;1958-10-24;0.0;Y
1958-10-25 06:00:01;1958-10-26 06:00:00;1958-10-25;0.0;Y
1958-10-26 06:00:01;1958-10-27 06:00:00;1958-10-26;0.0;Y
1958-10-27 06:00:01;1958-10-28 06:00:00;1958-10-27;0.0;Y
1958-10-28 06:00:01;1958-10-29 06:00:00;1958-10-28;0.5;Y
1958-10-29 06:00:01;1958-10-30 06:00:00;1958-10-29;0.0;Y
1958-10-30 06:00:01;1958-10-31 06:00:00;1958-10-30;0.0;Y
1958-10-31 06:00:01;1958-11-01 06:00:00;1958-10-31;0.0;Y
1958-11-01 06:00:01;1958-11-02 06:00:00;1958-11-01;0.0;Y
1958-11-02 06:00:01;1958-11-03 06:00:00;1958-11-02;1.3;Y
1958-11-03 06:00:01;1958-11-04 06:00:00;1958-11-03;6.3;Y
1958-11-04 06:00:01;1958-11-05 06:00:00;1958-11-04;1.8;Y
1958-11-05 06:00:01;1958-11-06 06:00:00;1958-11-05;1.3;Y
1958-11-06 06:00:01;1958-11-07 06:00:00;1958-11-06;0.0;Y
1958-11-07 06:00:01;1958-11-08 06:00:00;1958-11-07;2.9;Y
1958-11-08 06:00:01;1958-11-09 06:00:00;1958-11-08;1.8;Y
1958-11-09 06:00:01;1958-11-10 06:00:00;1958-11-09;6.2;Y
1958-11-10 06:00:01;1958-11-11 06:00:00;1958-11-10;0.0;Y
1958-11-11 06:00:01;1958-11-12 06:00:00;1958-11-11;2.0;Y
1958-11-12 06:00:01;1958-11-13 06:00:00;1958-11-12;1.0;Y
1958-11-13 06:00:01;1958-11-14 06:00:00;1958-11-13;0.5;Y
1958-11-14 06:00:01;1958-11-15 06:00:00;1958-11-14;0.0;Y
1958-11-15 06:00:01;1958-11-16 06:00:00;1958-11-15;0.0;Y
1958-11-16 06:00:01;1958-11-17 06:00:00;1958-11-16;0.0;Y
1958-11-17 06:00:01;1958-11-18 06:00:00;1958-11-17;0.0;Y
1958-11-18 06:00:01;1958-11-19 06:00:00;1958-11-18;0.0;Y
1958-11-19 06:00:01;1958-11-20 06:00:00;1958-11-19;0.0;Y
1958-11-20 06:00:01;1958-11-21 06:00:00;1958-11-20;0.0;Y
1958-11-21 06:00:01;1958-11-22 06:00:00;1958-11-21;0.0;Y
1958-11-22 06:00:01;1958-11-23 06:00:00;1958-11-22;0.0;Y
1958-11-23 06:00:01;1958-11-24 06:00:00;1958-11-23;0.0;Y
1958-11-24 06:00:01;1958-11-25 06:00:00;1958-11-24;0.0;Y
1958-11-25 06:00:01;1958-11-26 06:00:00;1958-11-25;0.0;Y
1958-11-26 06:00:01;1958-11-27 06:00:00;1958-11-26;0.0;Y
1958-11-27 06:00:01;1958-11-28 06:00:00;1958-11-27;0.2;Y
1958-11-28 06:00:01;1958-11-29 06:00:00;1958-11-28;1.0;Y
1958-11-29 06:00:01;1958-11-30 06:00:00;1958-11-29;1.0;Y
1958-11-30 06:00:01;1958-12-01 06:00:00;1958-11-30;0.3;Y
1958-12-01 06:00:01;1958-12-02 06:00:00;1958-12-01;10.0;Y
1958-12-02 06:00:01;1958-12-03 06:00:00;1958-12-02;0.0;Y
1958-12-03 06:00:01;1958-12-04 06:00:00;1958-12-03;0.0;Y
1958-12-04 06:00:01;1958-12-05 06:00:00;1958-12-04;0.0;Y
1958-12-05 06:00:01;1958-12-06 06:00:00;1958-12-05;0.0;Y
1958-12-06 06:00:01;1958-12-07 06:00:00;1958-12-06;4.0;Y
1958-12-07 06:00:01;1958-12-08 06:00:00;1958-12-07;0.0;Y
1958-12-08 06:00:01;1958-12-09 06:00:00;1958-12-08;1.6;Y
1958-12-09 06:00:01;1958-12-10 06:00:00;1958-12-09;11.0;Y
1958-12-10 06:00:01;1958-12-11 06:00:00;1958-12-10;0.0;Y
1958-12-11 06:00:01;1958-12-12 06:00:00;1958-12-11;0.0;Y
1958-12-12 06:00:01;1958-12-13 06:00:00;1958-12-12;0.4;Y
1958-12-13 06:00:01;1958-12-14 06:00:00;1958-12-13;0.5;Y
1958-12-14 06:00:01;1958-12-15 06:00:00;1958-12-14;4.3;Y
1958-12-15 06:00:01;1958-12-16 06:00:00;1958-12-15;5.0;Y
1958-12-16 06:00:01;1958-12-17 06:00:00;1958-12-16;1.0;Y
1958-12-17 06:00:01;1958-12-18 06:00:00;1958-12-17;4.2;Y
1958-12-18 06:00:01;1958-12-19 06:00:00;1958-12-18;0.0;Y
1958-12-19 06:00:01;1958-12-20 06:00:00;1958-12-19;1.0;Y
1958-12-20 06:00:01;1958-12-21 06:00:00;1958-12-20;1.6;Y
1958-12-21 06:00:01;1958-12-22 06:00:00;1958-12-21;1.4;Y
1958-12-22 06:00:01;1958-12-23 06:00:00;1958-12-22;0.3;Y
1958-12-23 06:00:01;1958-12-24 06:00:00;1958-12-23;0.5;Y
1958-12-24 06:00:01;1958-12-25 06:00:00;1958-12-24;1.3;Y
1958-12-25 06:00:01;1958-12-26 06:00:00;1958-12-25;0.0;Y
1958-12-26 06:00:01;1958-12-27 06:00:00;1958-12-26;11.7;Y
1958-12-27 06:00:01;1958-12-28 06:00:00;1958-12-27;0.8;Y
1958-12-28 06:00:01;1958-12-29 06:00:00;1958-12-28;2.6;Y
1958-12-29 06:00:01;1958-12-30 06:00:00;1958-12-29;2.0;Y
1958-12-30 06:00:01;1958-12-31 06:00:00;1958-12-30;0.2;Y
1958-12-31 06:00:01;1959-01-01 06:00:00;1958-12-31;6.0;Y
1959-01-01 06:00:01;1959-01-02 06:00:00;1959-01-01;0.6;Y
1959-01-02 06:00:01;1959-01-03 06:00:00;1959-01-02;1.7;Y
1959-01-03 06:00:01;1959-01-04 06:00:00;1959-01-03;2.7;Y
1959-01-04 06:00:01;1959-01-05 06:00:00;1959-01-04;0.1;Y
1959-01-05 06:00:01;1959-01-06 06:00:00;1959-01-05;0.2;Y
1959-01-06 06:00:01;1959-01-07 06:00:00;1959-01-06;0.5;Y
1959-01-07 06:00:01;1959-01-08 06:00:00;1959-01-07;0.0;Y
1959-01-08 06:00:01;1959-01-09 06:00:00;1959-01-08;0.1;Y
1959-01-09 06:00:01;1959-01-10 06:00:00;1959-01-09;10.0;Y
1959-01-10 06:00:01;1959-01-11 06:00:00;1959-01-10;15.1;Y
1959-01-11 06:00:01;1959-01-12 06:00:00;1959-01-11;0.8;Y
1959-01-12 06:00:01;1959-01-13 06:00:00;1959-01-12;18.7;Y
1959-01-13 06:00:01;1959-01-14 06:00:00;1959-01-13;2.0;Y
1959-01-14 06:00:01;1959-01-15 06:00:00;1959-01-14;0.9;Y
1959-01-15 06:00:01;1959-01-16 06:00:00;1959-01-15;0.0;Y
1959-01-16 06:00:01;1959-01-17 06:00:00;1959-01-16;0.0;Y
1959-01-17 06:00:01;1959-01-18 06:00:00;1959-01-17;0.6;Y
1959-01-18 06:00:01;1959-01-19 06:00:00;1959-01-18;0.8;Y
1959-01-19 06:00:01;1959-01-20 06:00:00;1959-01-19;7.8;Y
1959-01-20 06:00:01;1959-01-21 06:00:00;1959-01-20;8.2;Y
1959-01-21 06:00:01;1959-01-22 06:00:00;1959-01-21;3.0;Y
1959-01-22 06:00:01;1959-01-23 06:00:00;1959-01-22;4.1;Y
1959-01-23 06:00:01;1959-01-24 06:00:00;1959-01-23;2.0;Y
1959-01-24 06:00:01;1959-01-25 06:00:00;1959-01-24;10.1;Y
1959-01-25 06:00:01;1959-01-26 06:00:00;1959-01-25;4.4;Y
1959-01-26 06:00:01;1959-01-27 06:00:00;1959-01-26;0.0;Y
1959-01-27 06:00:01;1959-01-28 06:00:00;1959-01-27;0.0;Y
1959-01-28 06:00:01;1959-01-29 06:00:00;1959-01-28;0.0;Y
1959-01-29 06:00:01;1959-01-30 06:00:00;1959-01-29;0.0;Y
1959-01-30 06:00:01;1959-01-31 06:00:00;1959-01-30;3.2;Y
1959-01-31 06:00:01;1959-02-01 06:00:00;1959-01-31;0.0;Y
1959-02-01 06:00:01;1959-02-02 06:00:00;1959-02-01;0.0;Y
1959-02-02 06:00:01;1959-02-03 06:00:00;1959-02-02;0.0;Y
1959-02-03 06:00:01;1959-02-04 06:00:00;1959-02-03;0.0;Y
1959-02-04 06:00:01;1959-02-05 06:00:00;1959-02-04;0.0;Y
1959-02-05 06:00:01;1959-02-06 06:00:00;1959-02-05;0.0;Y
1959-02-06 06:00:01;1959-02-07 06:00:00;1959-02-06;0.0;Y
1959-02-07 06:00:01;1959-02-08 06:00:00;1959-02-07;0.0;Y
1959-02-08 06:00:01;1959-02-09 06:00:00;1959-02-08;0.0;Y
1959-02-09 06:00:01;1959-02-10 06:00:00;1959-02-09;0.0;Y
1959-02-10 06:00:01;1959-02-11 06:00:00;1959-02-10;0.0;Y
1959-02-11 06:00:01;1959-02-12 06:00:00;1959-02-11;0.0;Y
1959-02-12 06:00:01;1959-02-13 06:00:00;1959-02-12;0.0;Y
1959-02-13 06:00:01;1959-02-14 06:00:00;1959-02-13;0.0;Y
1959-02-14 06:00:01;1959-02-15 06:00:00;1959-02-14;1.7;Y
1959-02-15 06:00:01;1959-02-16 06:00:00;1959-02-15;0.5;Y
1959-02-16 06:00:01;1959-02-17 06:00:00;1959-02-16;0.0;Y
1959-02-17 06:00:01;1959-02-18 06:00:00;1959-02-17;0.0;Y
1959-02-18 06:00:01;1959-02-19 06:00:00;1959-02-18;0.0;Y
1959-02-19 06:00:01;1959-02-20 06:00:00;1959-02-19;0.0;Y
1959-02-20 06:00:01;1959-02-21 06:00:00;1959-02-20;5.8;Y
1959-02-21 06:00:01;1959-02-22 06:00:00;1959-02-21;0.0;Y
1959-02-22 06:00:01;1959-02-23 06:00:00;1959-02-22;0.0;Y
1959-02-23 06:00:01;1959-02-24 06:00:00;1959-02-23;0.0;Y
1959-02-24 06:00:01;1959-02-25 06:00:00;1959-02-24;0.0;Y
1959-02-25 06:00:01;1959-02-26 06:00:00;1959-02-25;0.0;Y
1959-02-26 06:00:01;1959-02-27 06:00:00;1959-02-26;0.0;Y
1959-02-27 06:00:01;1959-02-28 06:00:00;1959-02-27;0.0;Y
1959-02-28 06:00:01;1959-03-01 06:00:00;1959-02-28;0.0;Y
1959-03-01 06:00:01;1959-03-02 06:00:00;1959-03-01;0.0;Y
1959-03-02 06:00:01;1959-03-03 06:00:00;1959-03-02;0.0;Y
1959-03-03 06:00:01;1959-03-04 06:00:00;1959-03-03;0.0;Y
1959-03-04 06:00:01;1959-03-05 06:00:00;1959-03-04;0.0;Y
1959-03-05 06:00:01;1959-03-06 06:00:00;1959-03-05;4.0;Y
1959-03-06 06:00:01;1959-03-07 06:00:00;1959-03-06;6.8;Y
1959-03-07 06:00:01;1959-03-08 06:00:00;1959-03-07;1.2;Y
1959-03-08 06:00:01;1959-03-09 06:00:00;1959-03-08;0.0;Y
1959-03-09 06:00:01;1959-03-10 06:00:00;1959-03-09;0.0;Y
1959-03-10 06:00:01;1959-03-11 06:00:00;1959-03-10;0.0;Y
1959-03-11 06:00:01;1959-03-12 06:00:00;1959-03-11;0.0;Y
1959-03-12 06:00:01;1959-03-13 06:00:00;1959-03-12;0.0;Y
1959-03-13 06:00:01;1959-03-14 06:00:00;1959-03-13;0.0;Y
1959-03-14 06:00:01;1959-03-15 06:00:00;1959-03-14;0.0;Y
1959-03-15 06:00:01;1959-03-16 06:00:00;1959-03-15;0.5;Y
1959-03-16 06:00:01;1959-03-17 06:00:00;1959-03-16;0.0;Y
1959-03-17 06:00:01;1959-03-18 06:00:00;1959-03-17;0.0;Y
1959-03-18 06:00:01;1959-03-19 06:00:00;1959-03-18;0.0;Y
1959-03-19 06:00:01;1959-03-20 06:00:00;1959-03-19;0.0;Y
1959-03-20 06:00:01;1959-03-21 06:00:00;1959-03-20;0.0;Y
1959-03-21 06:00:01;1959-03-22 06:00:00;1959-03-21;0.0;Y
1959-03-22 06:00:01;1959-03-23 06:00:00;1959-03-22;0.0;Y
1959-03-23 06:00:01;1959-03-24 06:00:00;1959-03-23;0.0;Y
1959-03-24 06:00:01;1959-03-25 06:00:00;1959-03-24;0.0;Y
1959-03-25 06:00:01;1959-03-26 06:00:00;1959-03-25;0.0;Y
1959-03-26 06:00:01;1959-03-27 06:00:00;1959-03-26;0.6;Y
1959-03-27 06:00:01;1959-03-28 06:00:00;1959-03-27;0.0;Y
1959-03-28 06:00:01;1959-03-29 06:00:00;1959-03-28;0.0;Y
1959-03-29 06:00:01;1959-03-30 06:00:00;1959-03-29;12.2;Y
1959-03-30 06:00:01;1959-03-31 06:00:00;1959-03-30;0.0;Y
1959-03-31 06:00:01;1959-04-01 06:00:00;1959-03-31;0.0;Y
1959-04-01 06:00:01;1959-04-02 06:00:00;1959-04-01;3.1;Y
1959-04-02 06:00:01;1959-04-03 06:00:00;1959-04-02;0.0;Y
1959-04-03 06:00:01;1959-04-04 06:00:00;1959-04-03;0.0;Y
1959-04-04 06:00:01;1959-04-05 06:00:00;1959-04-04;0.0;Y
1959-04-05 06:00:01;1959-04-06 06:00:00;1959-04-05;0.0;Y
1959-04-06 06:00:01;1959-04-07 06:00:00;1959-04-06;2.8;Y
1959-04-07 06:00:01;1959-04-08 06:00:00;1959-04-07;14.0;Y
1959-04-08 06:00:01;1959-04-09 06:00:00;1959-04-08;2.0;Y
1959-04-09 06:00:01;1959-04-10 06:00:00;1959-04-09;0.0;Y
1959-04-10 06:00:01;1959-04-11 06:00:00;1959-04-10;15.2;Y
1959-04-11 06:00:01;1959-04-12 06:00:00;1959-04-11;2.3;Y
1959-04-12 06:00:01;1959-04-13 06:00:00;1959-04-12;1.0;Y
1959-04-13 06:00:01;1959-04-14 06:00:00;1959-04-13;0.0;Y
1959-04-14 06:00:01;1959-04-15 06:00:00;1959-04-14;0.0;Y
1959-04-15 06:00:01;1959-04-16 06:00:00;1959-04-15;0.0;Y
1959-04-16 06:00:01;1959-04-17 06:00:00;1959-04-16;0.0;Y
1959-04-17 06:00:01;1959-04-18 06:00:00;1959-04-17;0.0;Y
1959-04-18 06:00:01;1959-04-19 06:00:00;1959-04-18;0.0;Y
1959-04-19 06:00:01;1959-04-20 06:00:00;1959-04-19;0.0;Y
1959-04-20 06:00:01;1959-04-21 06:00:00;1959-04-20;0.0;Y
1959-04-21 06:00:01;1959-04-22 06:00:00;1959-04-21;0.0;Y
1959-04-22 06:00:01;1959-04-23 06:00:00;1959-04-22;0.0;Y
1959-04-23 06:00:01;1959-04-24 06:00:00;1959-04-23;0.0;Y
1959-04-24 06:00:01;1959-04-25 06:00:00;1959-04-24;0.0;Y
1959-04-25 06:00:01;1959-04-26 06:00:00;1959-04-25;0.0;Y
1959-04-26 06:00:01;1959-04-27 06:00:00;1959-04-26;0.0;Y
1959-04-27 06:00:01;1959-04-28 06:00:00;1959-04-27;0.0;Y
1959-04-28 06:00:01;1959-04-29 06:00:00;1959-04-28;0.2;Y
1959-04-29 06:00:01;1959-04-30 06:00:00;1959-04-29;0.0;Y
1959-04-30 06:00:01;1959-05-01 06:00:00;1959-04-30;0.0;Y
1959-05-01 06:00:01;1959-05-02 06:00:00;1959-05-01;0.0;Y
1959-05-02 06:00:01;1959-05-03 06:00:00;1959-05-02;0.0;Y
1959-05-03 06:00:01;1959-05-04 06:00:00;1959-05-03;3.0;Y
1959-05-04 06:00:01;1959-05-05 06:00:00;1959-05-04;0.0;Y
1959-05-05 06:00:01;1959-05-06 06:00:00;1959-05-05;0.0;Y
1959-05-06 06:00:01;1959-05-07 06:00:00;1959-05-06;0.1;Y
1959-05-07 06:00:01;1959-05-08 06:00:00;1959-05-07;0.5;Y
1959-05-08 06:00:01;1959-05-09 06:00:00;1959-05-08;0.0;Y
1959-05-09 06:00:01;1959-05-10 06:00:00;1959-05-09;0.0;Y
1959-05-10 06:00:01;1959-05-11 06:00:00;1959-05-10;0.0;Y
1959-05-11 06:00:01;1959-05-12 06:00:00;1959-05-11;0.0;Y
1959-05-12 06:00:01;1959-05-13 06:00:00;1959-05-12;0.0;Y
1959-05-13 06:00:01;1959-05-14 06:00:00;1959-05-13;0.0;Y
1959-05-14 06:00:01;1959-05-15 06:00:00;1959-05-14;0.2;Y
1959-05-15 06:00:01;1959-05-16 06:00:00;1959-05-15;0.0;Y
1959-05-16 06:00:01;1959-05-17 06:00:00;1959-05-16;0.0;Y
1959-05-17 06:00:01;1959-05-18 06:00:00;1959-05-17;0.0;Y
1959-05-18 06:00:01;1959-05-19 06:00:00;1959-05-18;0.0;Y
1959-05-19 06:00:01;1959-05-20 06:00:00;1959-05-19;0.0;Y
1959-05-20 06:00:01;1959-05-21 06:00:00;1959-05-20;0.6;Y
1959-05-21 06:00:01;1959-05-22 06:00:00;1959-05-21;0.0;Y
1959-05-22 06:00:01;1959-05-23 06:00:00;1959-05-22;7.2;Y
1959-05-23 06:00:01;1959-05-24 06:00:00;1959-05-23;0.0;Y
1959-05-24 06:00:01;1959-05-25 06:00:00;1959-05-24;0.0;Y
1959-05-25 06:00:01;1959-05-26 06:00:00;1959-05-25;3.0;Y
1959-05-26 06:00:01;1959-05-27 06:00:00;1959-05-26;4.0;Y
1959-05-27 06:00:01;1959-05-28 06:00:00;1959-05-27;0.0;Y
1959-05-28 06:00:01;1959-05-29 06:00:00;1959-05-28;0.0;Y
1959-05-29 06:00:01;1959-05-30 06:00:00;1959-05-29;0.0;Y
1959-05-30 06:00:01;1959-05-31 06:00:00;1959-05-30;0.0;Y
1959-05-31 06:00:01;1959-06-01 06:00:00;1959-05-31;0.0;Y
1959-06-01 06:00:01;1959-06-02 06:00:00;1959-06-01;3.0;Y
1959-06-02 06:00:01;1959-06-03 06:00:00;1959-06-02;2.5;Y
1959-06-03 06:00:01;1959-06-04 06:00:00;1959-06-03;0.0;Y
1959-06-04 06:00:01;1959-06-05 06:00:00;1959-06-04;0.0;Y
1959-06-05 06:00:01;1959-06-06 06:00:00;1959-06-05;0.0;Y
1959-06-06 06:00:01;1959-06-07 06:00:00;1959-06-06;0.0;Y
1959-06-07 06:00:01;1959-06-08 06:00:00;1959-06-07;0.0;Y
1959-06-08 06:00:01;1959-06-09 06:00:00;1959-06-08;0.0;Y
1959-06-09 06:00:01;1959-06-10 06:00:00;1959-06-09;1.5;Y
1959-06-10 06:00:01;1959-06-11 06:00:00;1959-06-10;1.5;Y
1959-06-11 06:00:01;1959-06-12 06:00:00;1959-06-11;0.0;Y
1959-06-12 06:00:01;1959-06-13 06:00:00;1959-06-12;0.0;Y
1959-06-13 06:00:01;1959-06-14 06:00:00;1959-06-13;0.0;Y
1959-06-14 06:00:01;1959-06-15 06:00:00;1959-06-14;0.5;Y
1959-06-15 06:00:01;1959-06-16 06:00:00;1959-06-15;0.6;Y
1959-06-16 06:00:01;1959-06-17 06:00:00;1959-06-16;1.5;Y
1959-06-17 06:00:01;1959-06-18 06:00:00;1959-06-17;0.0;Y
1959-06-18 06:00:01;1959-06-19 06:00:00;1959-06-18;0.0;Y
1959-06-19 06:00:01;1959-06-20 06:00:00;1959-06-19;0.0;Y
1959-06-20 06:00:01;1959-06-21 06:00:00;1959-06-20;0.1;Y
1959-06-21 06:00:01;1959-06-22 06:00:00;1959-06-21;0.0;Y
1959-06-22 06:00:01;1959-06-23 06:00:00;1959-06-22;0.0;Y
1959-06-23 06:00:01;1959-06-24 06:00:00;1959-06-23;0.0;Y
1959-06-24 06:00:01;1959-06-25 06:00:00;1959-06-24;0.0;Y
1959-06-25 06:00:01;1959-06-26 06:00:00;1959-06-25;0.0;Y
1959-06-26 06:00:01;1959-06-27 06:00:00;1959-06-26;0.0;Y
1959-06-27 06:00:01;1959-06-28 06:00:00;1959-06-27;0.0;Y
1959-06-28 06:00:01;1959-06-29 06:00:00;1959-06-28;0.0;Y
1959-06-29 06:00:01;1959-06-30 06:00:00;1959-06-29;4.1;Y
1959-06-30 06:00:01;1959-07-01 06:00:00;1959-06-30;0.3;Y
1959-07-01 06:00:01;1959-07-02 06:00:00;1959-07-01;0.0;Y
1959-07-02 06:00:01;1959-07-03 06:00:00;1959-07-02;6.0;Y
1959-07-03 06:00:01;1959-07-04 06:00:00;1959-07-03;4.0;Y
1959-07-04 06:00:01;1959-07-05 06:00:00;1959-07-04;0.0;Y
1959-07-05 06:00:01;1959-07-06 06:00:00;1959-07-05;0.0;Y
1959-07-07 06:00:01;1959-07-08 06:00:00;1959-07-07;0.0;Y
1959-07-08 06:00:01;1959-07-09 06:00:00;1959-07-08;0.0;Y
1959-07-09 06:00:01;1959-07-10 06:00:00;1959-07-09;0.0;Y
1959-07-10 06:00:01;1959-07-11 06:00:00;1959-07-10;0.0;Y
1959-07-11 06:00:01;1959-07-12 06:00:00;1959-07-11;0.0;Y
1959-07-12 06:00:01;1959-07-13 06:00:00;1959-07-12;0.0;Y
1959-07-13 06:00:01;1959-07-14 06:00:00;1959-07-13;0.0;Y
1959-07-14 06:00:01;1959-07-15 06:00:00;1959-07-14;0.0;Y
1959-07-15 06:00:01;1959-07-16 06:00:00;1959-07-15;0.0;Y
1959-07-16 06:00:01;1959-07-17 06:00:00;1959-07-16;0.0;Y
1959-07-17 06:00:01;1959-07-18 06:00:00;1959-07-17;0.0;Y
1959-07-18 06:00:01;1959-07-19 06:00:00;1959-07-18;0.0;Y
1959-07-19 06:00:01;1959-07-20 06:00:00;1959-07-19;0.0;Y
1959-07-20 06:00:01;1959-07-21 06:00:00;1959-07-20;0.0;Y
1959-07-21 06:00:01;1959-07-22 06:00:00;1959-07-21;0.0;Y
1959-07-22 06:00:01;1959-07-23 06:00:00;1959-07-22;0.0;Y
1959-07-23 06:00:01;1959-07-24 06:00:00;1959-07-23;0.0;Y
1959-07-24 06:00:01;1959-07-25 06:00:00;1959-07-24;0.0;Y
1959-07-25 06:00:01;1959-07-26 06:00:00;1959-07-25;0.0;Y
1959-07-26 06:00:01;1959-07-27 06:00:00;1959-07-26;0.0;Y
1959-07-27 06:00:01;1959-07-28 06:00:00;1959-07-27;0.0;Y
1959-07-28 06:00:01;1959-07-29 06:00:00;1959-07-28;0.0;Y
1959-07-29 06:00:01;1959-07-30 06:00:00;1959-07-29;0.0;Y
1959-07-30 06:00:01;1959-07-31 06:00:00;1959-07-30;0.0;Y
1959-07-31 06:00:01;1959-08-01 06:00:00;1959-07-31;0.0;Y
1959-08-01 06:00:01;1959-08-02 06:00:00;1959-08-01;0.0;Y
1959-08-02 06:00:01;1959-08-03 06:00:00;1959-08-02;12.0;Y
1959-08-03 06:00:01;1959-08-04 06:00:00;1959-08-03;0.0;Y
1959-08-04 06:00:01;1959-08-05 06:00:00;1959-08-04;0.0;Y
1959-08-05 06:00:01;1959-08-06 06:00:00;1959-08-05;0.0;Y
1959-08-06 06:00:01;1959-08-07 06:00:00;1959-08-06;0.0;Y
1959-08-07 06:00:01;1959-08-08 06:00:00;1959-08-07;0.0;Y
1959-08-08 06:00:01;1959-08-09 06:00:00;1959-08-08;0.0;Y
1959-08-09 06:00:01;1959-08-10 06:00:00;1959-08-09;0.0;Y
1959-08-10 06:00:01;1959-08-11 06:00:00;1959-08-10;0.0;Y
1959-08-11 06:00:01;1959-08-12 06:00:00;1959-08-11;0.0;Y
